"n","elapsedTime","theoryTimeOh","theoryTimeOmega"
1.6094379124341003,14.115769212620496,4.787491742782046,3.2188758248682006
1.791759469228055,13.088812798613217,6.579251212010101,3.58351893845611
1.9459101490553132,12.547539530957708,8.525161361065415,3.8918202981106265
2.0794415416798357,14.993573071130115,10.60460290274525,4.1588830833596715
2.1972245773362196,15.21140840761627,12.801827480081469,4.394449154672439
2.302585092994046,15.105855535032326,15.104412573075516,4.605170185988092
2.3978952727983707,15.294019403071976,17.502307845873887,4.795790545596741
2.4849066497880004,15.313486266131402,19.987214495661885,4.969813299576001
2.5649493574615367,15.54249307763296,22.552163853123425,5.1298987149230735
2.6390573296152584,15.433106899724809,25.19122118273868,5.278114659230518
2.70805020110221,16.40931929463667,27.89927138384089,5.41610040220442
2.772588722239781,16.46303713631614,30.671860106080672,5.545177444479562
2.833213344056216,17.20633239938456,33.50507345013689,5.666426688112432
2.8903717578961645,17.543788449822156,36.39544520803305,5.780743515792329
2.9444389791664403,16.777504956102067,39.339884187199495,5.8888779583328805
2.995732273553991,18.236603494832217,42.335616460753485,5.991464547107982
3.044522437723423,18.59276663627272,45.38013889847691,6.089044875446846
3.091042453358316,18.94360675583801,48.47118135183523,6.182084906716632
3.1354942159291497,19.0521689494995,51.60667556776438,6.270988431858299
3.1780538303479458,19.354729756044964,54.78472939811232,6.3561076606958915
3.2188758248682006,19.543925139315363,58.00360522298052,6.437751649736401
3.258096538021482,19.84599199697463,61.261701761002,6.516193076042964
3.295836866004329,20.014213084775037,64.55753862700634,6.591673732008658
3.332204510175204,20.331808541226177,67.88974313718154,6.664409020350408
3.367295829986474,20.59046094606986,71.25703896716801,6.734591659972948
3.4011973816621555,20.722200062210227,74.65823634883016,6.802394763324311
3.4339872044851463,18.854004420078677,78.0922235533153,6.8679744089702925
3.4657359027997265,19.871175934041993,81.55795945611504,6.931471805599453
3.4965075614664802,20.584608358076828,85.05446701758152,6.9930151229329605
3.5263605246161616,19.04833229482578,88.58082754219768,7.052721049232323
3.5553480614894135,20.224344874010182,92.1361756036871,7.110696122978827
3.58351893845611,18.230956591430147,95.7196945421432,7.16703787691222
3.6109179126442243,20.57257653596287,99.33061245478743,7.221835825288449
3.6375861597263857,20.015390840584235,102.96819861451381,7.275172319452771
3.6635616461296463,19.260309016670355,106.63176026064346,7.327123292259293
3.6888794541139363,19.471234420301727,110.32063971475739,7.3777589082278725
3.713572066704308,19.790880491338765,114.0342117814617,7.427144133408616
3.7376696182833684,20.45441914245661,117.77188139974507,7.475339236566737
3.7612001156935624,20.633322532965423,121.53308151543864,7.522400231387125
3.784189633918261,20.374657654735273,125.3172711493569,7.568379267836522
3.8066624897703196,20.295420725891134,129.12393363912722,7.613324979540639
3.828641396489095,20.433062157246997,132.95257503561632,7.65728279297819
3.8501476017100584,20.61168257454223,136.80272263732635,7.700295203420117
3.8712010109078907,20.592950806849363,140.67392364823425,7.742402021815781
3.8918202981106265,18.240642622135297,144.5657439463449,7.783640596221253
3.912023005428146,19.979647440841596,148.47776695177302,7.824046010856292